0.0, 25.0, 1.225, 7.249
25.0, 30.0, 3.899E-2, 6.349
30.0, 40.0, 1.774E-2, 6.682
40.0, 50.0, 3.972E-3, 7.554
50.0, 60.0, 1.057E-3, 8.382
60.0, 70.0, 3.206E-4, 7.714
70.0, 80.0, 8.770E-5, 6.549
80.0, 90.0, 1.905E-5, 5.799
90.0, 100.0, 3.396E-6, 5.382
100.0, 110.0, 5.297E-7, 5.877
110.0, 120.0, 9.661E-8, 7.263
120.0, 130.0, 2.438E-8, 9.473
130.0, 140.0, 8.484E-9, 12.636
140.0, 150.0, 3.845E-9, 16.149
150.0, 180.0, 2.070E-9, 22.523
180.0, 200.0, 5.464E-10, 29.740
200.0, 250.0, 2.789E-10, 37.105
250.0, 300.0,7.248E-11, 45.546
300.0, 350.0, 2.418E-11, 53.628
350.0, 400.0, 9.518E-12, 53.298
400.0, 450.0, 3.725E-12, 58.515
450.0, 500.0, 1.585E-12, 60.828
500.0, 600.0, 6.967E-13, 63.822
600.0, 700.0, 1.454E-13, 71.835
700.0, 800.0, 3.614E-14, 88.667
800.0, 900.0, 1.170E-14, 124.64
900.0, 1000.0, 5.245E-15, 181.05
1000.0, 1100.0, 3.019E-15, 268.0
